Temperatura: 23, Humedad: 56, Presion: 1012
Temperatura: 24, Humedad: 57, Presion: 1013
Temperatura: 22, Humedad: 55, Presion: 1011
Temperatura: 23, Humedad: 57, Presion: 1012
Temperatura: 24, Humedad: 58, Presion: 1013
Temperatura: 22, Humedad: 55, Presion: 1012
Temperatura: 25, Humedad: 59, Presion: 1014
Temperatura: 23, Humedad: 56, Presion: 1011
Temperatura: 24, Humedad: 57, Presion: 1013
Temperatura: 22, Humedad: 55, Presion: 1012
Temperatura: 23, Humedad: 58, Presion: 1013
Temperatura: 24, Humedad: 57, Presion: 1014
Temperatura: 22, Humedad: 56, Presion: 1012
Temperatura: 25, Humedad: 59, Presion: 1015
Temperatura: 24, Humedad: 57, Presion: 1012
Temperatura: 23, Humedad: 56, Presion: 1013
Temperatura: 22, Humedad: 55, Presion: 1011
Temperatura: 24, Humedad: 58, Presion: 1012
Temperatura: 25, Humedad: 59, Presion: 1014
Temperatura: 23, Humedad: 56, Presion: 1012
Temperatura: 24, Humedad: 57, Presion: 1013
Temperatura: 22, Humedad: 55, Presion: 1011
Temperatura: 23, Humedad: 58, Presion: 1013
Temperatura: 24, Humedad: 57, Presion: 1012
Temperatura: 22, Humedad: 55, Presion: 1011
Temperatura: 25, Humedad: 59, Presion: 1014
Temperatura: 23, Humedad: 56, Presion: 1012
Temperatura: 24, Humedad: 57, Presion: 1013
Temperatura: 22, Humedad: 55, Presion: 1011
Temperatura: 24, Humedad: 58, Presion: 1012
Temperatura: 23, Humedad: 56, Presion: 1013
